,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-55-6983-01A-11D-1945-08,0.0011384151163696045,0.0011383474418115015,0.0011390466635895862,0.0011383042439768985,0.14173135518683247,0.0011385385111105245,0.001138445574794428,0.8514375472615151
TCGA-53-7624-01A-11D-2063-08,0.23276857501924705,0.061440842713555786,0.20059626497005117,0.1987997204279006,0.19025079473175588,0.0001483826284457587,0.0001483736426201456,0.11584704586642365
TCGA-86-7714-01A-12D-2167-08,0.0014909480815527311,0.001490741449906374,0.0014909919904886073,0.0014907702624895594,0.18162016021304203,0.1332892041361895,0.0014907849005544474,0.6776363989657768
TCGA-L9-A7SV-01A-11D-A397-08,0.030649496416160327,0.195558735336495,7.205112698415906e-05,0.7587887313916847,7.205118971678127e-05,7.204564451184204e-05,7.20516701084899e-05,0.014714837224338714
TCGA-97-A4M3-01A-11D-A24P-08,0.06168617692768304,0.3683770876069359,0.15986760432063704,0.324402099277944,0.0005718085214290404,0.08395158466847111,0.0005718029254418132,0.0005718357514581695
TCGA-55-8620-01A-11D-2393-08,0.010459347656434524,0.11153939816864915,0.0002394583310122748,0.3941332378552017,0.2174803179195158,0.10356860462304326,0.00023944960727338108,0.16234018583887
TCGA-49-AAR3-01A-11D-A410-08,0.2577154487700228,0.0010099301142239296,0.0010099403727835427,0.0010098775646425584,0.4881133016397632,0.034947112136642186,0.21518436970853003,0.0010100196933918045
TCGA-17-Z042-01A-01W-0746-08,0.1538488246834864,0.2446256868825698,0.00025046932846660403,0.525208767464222,0.0002521773150357998,0.00025049936219900305,0.031872415449101826,0.04369115951491873
TCGA-62-A46Y-01A-11D-A24D-08,0.0037941173229790494,0.003794104273043951,0.0037947092490235885,0.00379418994303207,0.0037946975454257576,0.9734399379791566,0.0037938348899241286,0.0037944087974149583
TCGA-50-5068-01A-01D-1625-08,0.0013611432014108025,0.0013612967717554411,0.001361378843721497,0.0013613339791272495,0.0013613249487427963,0.3849963911503527,0.1831489545461899,0.42504817655869964
TCGA-78-7163-01A-12D-2063-08,0.006260634449084438,0.006259767704916026,0.006263813194972287,0.006263518378394548,0.006261084729728244,0.9561628517761429,0.00626680922331007,0.0062615205434515256
TCGA-86-8281-01A-11D-2284-08,0.0004672517045056033,0.0004672661769517664,0.0004673198041471513,0.41991387270793445,0.00046728655175112447,0.07894268473590726,0.3365388520747218,0.1627354662440809
TCGA-62-8395-01A-11D-2323-08,0.0016918458112359961,0.001691959815258438,0.28646411677596156,0.001691668313087612,0.0016917217185741765,0.7033840886564543,0.0016924870104354972,0.0016921118989924192
TCGA-MP-A4T6-01A-32D-A25L-08,0.0015847417056973933,0.0015846966596922548,0.36013519532304583,0.0015847735966763633,0.0015850111259661326,0.6303550414181065,0.0015853558625671057,0.0015851843082483805
TCGA-97-A4M5-01A-11D-A24P-08,0.000772811276845706,0.0007728819135452101,0.9945897839194565,0.0007728276669761663,0.0007727625184445805,0.0007731294480477738,0.0007727974992963384,0.0007730057573877595
TCGA-62-8399-01A-21D-2323-08,0.02632932207654003,0.09343248817128096,0.39624641109598124,0.16627562953035263,0.00022767663921852103,0.04102200065783216,0.19695308974787715,0.07951338208091717
TCGA-97-7547-01A-11D-2036-08,0.5018903459717208,0.0007115179194744144,0.28488545450239455,0.025090628242084,0.0007115158210816696,0.10454996522982103,0.0007115361878411547,0.08144903612558235
